Id,Price
4567,158735.30348800175
5925,128642.64957707904
960,147203.27504547723
3848,154349.71591206727
746,191291.4277731956
868,342545.0701177213
672,104861.29181283971
2471,211986.42047532546
4510,116932.6049914975
8354,264523.3181847291
6393,187260.26306526212
13270,227594.33715283714
5250,298616.7426487165
16751,177771.05632453214
11404,121065.00159073558
10588,323509.8566941334
14925,192681.3207113229
6791,199896.083939682
16097,203162.68021815803
16428,371277.6891806637
6945,294429.24782547023
3190,187379.06334561182
15709,425355.879965896
13155,163537.43187243913
7675,207823.72141625945
14686,216438.0463800398
609,151209.146462479
11155,170131.98586698284
10869,211936.86441264843
15742,209846.937415252
9245,180763.58947016322
3340,178375.53317388397
2359,271514.44470412255
8070,189617.16678442535
13707,115682.73949045727
16079,277489.92710475536
15937,322587.67031768354
14090,187473.48740776136
9008,240512.0573085841
16384,159365.25868296972
11657,243179.21272343502
13151,152433.8228891822
8990,163089.08831228525
11857,176248.7386870067
1565,168465.6486645316
8174,124005.94692082916
9247,242537.2392876923
10478,215312.45875090934
15509,137713.20316617072
8306,244708.4144633251
6642,170072.2209735108
7472,213271.9197300787
15989,132892.9783373607
13682,128802.24518823306
163,209576.1046008543
7076,178590.70803544438
7478,286223.929290351
3029,181373.97324892753
1814,127727.92870438642
10057,119210.4383059886
15100,206229.98829803
12694,182895.68194111227
6291,217274.6818764629
12603,165022.00877022522
3218,251837.72353293616
13456,124594.30389986155
10170,231985.8811679329
4530,173276.92444910982
13329,178321.7393098808
4820,152934.47758741194
10896,190412.26021701828
13416,108454.6646721521
2701,228753.64493194738
11265,343234.26688506705
9189,275919.6226876256
1858,161441.35824956914
14536,226031.37440520184
6199,306710.54138492444
14730,156424.82168956296
7510,251220.9779990249
15505,155176.95303114032
7446,180497.95594585149
14016,202245.81615661443
14113,101140.29605452968
8721,333556.41592681943
6193,309657.46357082203
5717,175914.08869411604
5427,293225.8143948461
9520,499417.2010118171
6869,100344.3500437537
1658,162645.3806081631
6639,239561.3078757777
6283,182408.67229091527
6257,126024.23875194954
15235,161902.59105761632
902,217627.107574438
8932,196204.3830088222
16469,385079.4292981022
2825,276482.5521336983
6450,473141.6817559795
11366,191718.16274572085
3801,410430.4432720811
11385,187064.65355795488
1079,190692.46711949207
3202,247886.15589254306
676,227717.35714329066
6185,296690.69187817106
7730,172260.00490509815
2573,167063.51982233382
10978,189309.15943031874
10962,262504.1704112592
8870,188850.64628083757
8496,152483.77123851085
5517,145005.05526400387
927,175885.21452306918
13675,239844.54091163303
1499,192430.992348069
15536,337115.1000521789
8602,306735.0233969079
12137,397851.0529842454
9865,271677.3580605392
16353,269344.9350412966
15908,216144.44997753418
3944,177471.97259880402
10359,196154.51156907537
15158,219372.59478653263
3259,258968.62052510536
7220,317197.2598685358
13843,209392.77263513015
16736,177710.2558684386
702,253663.52839194742
16401,148516.52787481766
12134,191267.4579807151
6918,261989.1991903125
11792,142749.33740436175
3798,111291.68412690055
10395,135639.87278929955
11099,147922.67685820215
7090,209955.96192832117
11260,189978.04208439976
9647,227281.3079474672
2903,390631.1347667887
2071,177601.9968764081
8604,201821.01095378527
9346,194006.69157591776
3945,191569.83061699243
3420,144262.86627188104
10842,126759.77710827069
725,182968.42128813436
13931,200274.7298985289
16330,216353.76613387457
9066,453134.0045750425
3326,297738.87765839405
1556,272311.44522741967
6579,128737.41495556154
13877,132965.10334505638
9857,345694.0223058584
7302,274141.8768866413
5684,216911.0645391432
6513,235273.1563380855
11342,97272.99066179791
16561,253643.6762575505
6885,181588.08555025957
9308,176557.2386163068
2559,189781.40104293497
6648,173789.8359240293
15260,172903.33402203338
